"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.741384636161432E9,"2025-03-07 13:57:16.161 UTC-08:00"
"PAUSE",2.117554491666670E1,1.741384657336987E9,"2025-03-07 13:57:37.337 UTC-08:00"
"START",2.117554491666670E1,1.741384679636387E9,"2025-03-07 13:57:59.636 UTC-08:00"
"PAUSE",4.172618604166200E1,1.741384700187037E9,"2025-03-07 13:58:20.187 UTC-08:00"
"START",4.172618604166200E1,1.741384728632403E9,"2025-03-07 13:58:48.632 UTC-08:00"
"PAUSE",1.099729123333236E2,1.741384796879159E9,"2025-03-07 13:59:56.879 UTC-08:00"
"START",1.099729123333236E2,1.741384801373124E9,"2025-03-07 14:00:01.373 UTC-08:00"
"PAUSE",1.291078912916564E2,1.741384820508111E9,"2025-03-07 14:00:20.508 UTC-08:00"
"START",1.291078912916564E2,1.741384823544194E9,"2025-03-07 14:00:23.544 UTC-08:00"
"PAUSE",1.487093099999911E2,1.741384843145621E9,"2025-03-07 14:00:43.146 UTC-08:00"
